,date_jour,code_site,number_of_call_drop_3g,techno
465,20230309,OCI0492,90,3G
466,20230309,OCI0493,156,3G
467,20230309,OCI0494,457,3G
468,20230309,OCI0495,106,3G
469,20230309,OCI0496,74,3G
470,20230309,OCI0497,30,3G
471,20230309,OCI0498,94,3G
472,20230309,OCI0499,40,3G
473,20230309,OCI0500,74,3G
474,20230309,OCI0501,36,3G
475,20230309,OCI0502,78,3G
476,20230309,OCI0503,119,3G
477,20230309,OCI0504,243,3G
478,20230309,OCI0505,91,3G
479,20230309,OCI0506,139,3G
480,20230309,OCI0507,77,3G
481,20230309,OCI0508,221,3G
482,20230309,OCI0509,129,3G
483,20230309,OCI0510,131,3G
484,20230309,OCI0511,146,3G
485,20230309,OCI0512,119,3G
486,20230309,OCI0513,532,3G
487,20230309,OCI0514,367,3G
488,20230309,OCI0515,145,3G
489,20230309,OCI0516,74,3G
490,20230309,OCI0517,22,3G
491,20230309,OCI0518,168,3G
492,20230309,OCI0519,30,3G
493,20230309,OCI0520,70,3G
494,20230309,OCI0521,57,3G
495,20230309,OCI0522,133,3G
496,20230309,OCI0523,43,3G
497,20230309,OCI0524,62,3G
498,20230309,OCI0525,102,3G
499,20230309,OCI0526,164,3G
500,20230309,OCI0527,76,3G
501,20230309,OCI0528,67,3G
502,20230309,OCI0529,609,3G
503,20230309,OCI0530,231,3G
504,20230309,OCI0531,144,3G
505,20230309,OCI0532,205,3G
506,20230309,OCI0533,191,3G
507,20230309,OCI0534,29,3G
508,20230309,OCI0535,12,3G
509,20230309,OCI0536,94,3G
510,20230309,OCI0537,679,3G
511,20230309,OCI0538,120,3G
512,20230309,OCI0539,150,3G
513,20230309,OCI0540,142,3G
514,20230309,OCI0541,403,3G
515,20230309,OCI0544,112,3G
516,20230309,OCI0545,197,3G
517,20230309,OCI0546,57,3G
518,20230309,OCI0547,193,3G
519,20230309,OCI0548,59,3G
520,20230309,OCI0549,2081,3G
521,20230309,OCI0550,371,3G
522,20230309,OCI0551,66,3G
523,20230309,OCI0552,33,3G
524,20230309,OCI0553,600,3G
525,20230309,OCI0554,33,3G
526,20230309,OCI0555,114,3G
527,20230309,OCI0556,126,3G
528,20230309,OCI0559,479,3G
529,20230309,OCI0560,195,3G
530,20230309,OCI0561,477,3G
531,20230309,OCI0562,296,3G
532,20230309,OCI0563,66,3G
533,20230309,OCI0564,27,3G
534,20230309,OCI0565,173,3G
535,20230309,OCI0566,63,3G
536,20230309,OCI0567,89,3G
537,20230309,OCI0568,384,3G
538,20230309,OCI0569,35,3G
539,20230309,OCI0570,52,3G
540,20230309,OCI0572,58,3G
541,20230309,OCI0573,4,3G
542,20230309,OCI0574,338,3G
543,20230309,OCI0575,86,3G
544,20230309,OCI0576,527,3G
545,20230309,OCI0577,130,3G
546,20230309,OCI0578,176,3G
547,20230309,OCI0579,17,3G
