,date_jour,code_site,trafic_voix,trafic_data,techno
371,20230223,OCI0130,381.55,0.67999241,2G
372,20230223,OCI0130,1185.34,99.98,3G
373,20230223,OCI0130,,667.476629,4G
374,20230223,OCI0132,224.04,0.14282142,2G
375,20230223,OCI0132,798.77,44.41,3G
376,20230223,OCI0132,,615.328664,4G
377,20230223,OCI0134,557.66,0.50545441,2G
378,20230223,OCI0134,941.909999999999,164.94,3G
379,20230223,OCI0134,,415.768022,4G
380,20230223,OCI0135,643.08,0.68663354,2G
381,20230223,OCI0135,1054.93,165.5,3G
382,20230223,OCI0135,,742.412648,4G
383,20230223,OCI0136,203.03,0.54918988,2G
384,20230223,OCI0136,556.18,109.62,3G
385,20230223,OCI0136,,155.19692,4G
386,20230223,OCI0137,513.4,0.68161605,2G
387,20230223,OCI0137,1003.11,116.55,3G
388,20230223,OCI0137,,892.509943,4G
389,20230223,OCI0138,184.89,0.60824412,2G
390,20230223,OCI0138,979.36,108.84,3G
391,20230223,OCI0138,,488.11672,4G
392,20230223,OCI0139,653.33,0.12649212,2G
393,20230223,OCI0139,191.3,43.82,3G
394,20230223,OCI0139,,48.973791,4G
395,20230223,OCI0141,211.4,0.03590896,2G
396,20230223,OCI0141,526.48,91.77,3G
397,20230223,OCI0141,,580.799588,4G
398,20230223,OCI0142,596.35,0.59741197,2G
399,20230223,OCI0142,311.69,55.6,3G
400,20230223,OCI0142,,132.15777,4G
401,20230223,OCI0143,304.6,0.63079266,2G
402,20230223,OCI0143,1690.06,99.6500000000001,3G
403,20230223,OCI0143,,832.295877,4G
404,20230223,OCI0144,564.04,0.80322271,2G
405,20230223,OCI0144,688.15,79.12,3G
406,20230223,OCI0144,,1182.246958,4G
407,20230223,OCI0145,62.97,0.09962265,2G
408,20230223,OCI0145,117.25,38.69,3G
409,20230223,OCI0146,486.98,0.83360344,2G
410,20230223,OCI0146,1073.6,113.11,3G
411,20230223,OCI0146,,962.997221,4G
412,20230223,OCI0147,555.469999999999,0.37499098,2G
413,20230223,OCI0147,706.44,107.76,3G
414,20230223,OCI0147,,250.997781,4G
415,20230223,OCI0148,461.38,1.21637393,2G
416,20230223,OCI0148,980.55,170.05,3G
417,20230223,OCI0148,,726.880021,4G
418,20230223,OCI0149,312.44,0.08729539,2G
419,20230223,OCI0149,148.63,29.1,3G
420,20230223,OCI0149,,47.364403,4G
421,20230223,OCI0150,646.27,0.70308408,2G
